Date,Normalized Close,lag_1,lag_2,lag_3,lag_4,lag_5,label
2017-09-12,-1.085479961118869,-1.092692008150842,-1.1021230841740388,-1.1024929399749381,-1.1276425700938375,-1.108040671174255,1
2017-09-13,-1.0729051460594194,-1.085479961118869,-1.092692008150842,-1.1021230841740388,-1.1024929399749381,-1.1276425700938375,1
2017-09-14,-1.0716106860276626,-1.0729051460594194,-1.085479961118869,-1.092692008150842,-1.1021230841740388,-1.1024929399749381,1
2017-09-15,-1.0625494305339747,-1.0716106860276626,-1.0729051460594194,-1.085479961118869,-1.092692008150842,-1.1021230841740388,1
2017-09-18,-1.0464610911801537,-1.0625494305339747,-1.0716106860276626,-1.0729051460594194,-1.085479961118869,-1.092692008150842,1
2017-09-19,-1.059960510470461,-1.0464610911801537,-1.0625494305339747,-1.0716106860276626,-1.0729051460594194,-1.085479961118869,0
2017-09-20,-1.0614398984026674,-1.059960510470461,-1.0464610911801537,-1.0625494305339747,-1.0716106860276626,-1.0729051460594194,0
2017-09-21,-1.0512690755062817,-1.0614398984026674,-1.059960510470461,-1.0464610911801537,-1.0625494305339747,-1.0716106860276626,1
2017-09-22,-1.0488650833432178,-1.0512690755062817,-1.0614398984026674,-1.059960510470461,-1.0464610911801537,-1.0625494305339747,1
2017-09-25,-1.0518238592076306,-1.0488650833432178,-1.0512690755062817,-1.0614398984026674,-1.059960510470461,-1.0464610911801537,0
2017-09-26,-1.0766036335256306,-1.0518238592076306,-1.0488650833432178,-1.0512690755062817,-1.0614398984026674,-1.059960510470461,0
2017-09-27,-1.0540429587416353,-1.0766036335256306,-1.0518238592076306,-1.0488650833432178,-1.0512690755062817,-1.0614398984026674,1
2017-09-28,-1.0608851147013185,-1.0540429587416353,-1.0766036335256306,-1.0518238592076306,-1.0488650833432178,-1.0512690755062817,0
2017-09-29,-1.0608851147013185,-1.0608851147013185,-1.0540429587416353,-1.0766036335256306,-1.0518238592076306,-1.0488650833432178,1
2017-10-02,-1.0699463701950067,-1.0608851147013185,-1.0608851147013185,-1.0540429587416353,-1.0766036335256306,-1.0518238592076306,0
2017-10-03,-1.0703162259959058,-1.0699463701950067,-1.0608851147013185,-1.0608851147013185,-1.0540429587416353,-1.0766036335256306,0
2017-10-04,-1.0699463701950067,-1.0703162259959058,-1.0699463701950067,-1.0608851147013185,-1.0608851147013185,-1.0540429587416353,1
2017-10-05,-1.0555223466738417,-1.0699463701950067,-1.0703162259959058,-1.0699463701950067,-1.0608851147013185,-1.0608851147013185,1
2017-10-06,-1.0460912353792546,-1.0555223466738417,-1.0699463701950067,-1.0703162259959058,-1.0699463701950067,-1.0608851147013185,1
2017-10-09,-1.052563570809429,-1.0460912353792546,-1.0555223466738417,-1.0699463701950067,-1.0703162259959058,-1.0699463701950067,0
2017-10-10,-1.0521937150085299,-1.052563570809429,-1.0460912353792546,-1.0555223466738417,-1.0699463701950067,-1.0703162259959058,1
2017-10-11,-1.0444269195465985,-1.0521937150085299,-1.052563570809429,-1.0460912353792546,-1.0555223466738417,-1.0699463701950067,1
2017-10-12,-1.0207566773599055,-1.0444269195465985,-1.0521937150085299,-1.052563570809429,-1.0460912353792546,-1.0555223466738417,1
2017-10-13,-1.0222361005635026,-1.0207566773599055,-1.0444269195465985,-1.0521937150085299,-1.052563570809429,-1.0460912353792546,0
2017-10-16,-1.044241991646149,-1.0222361005635026,-1.0207566773599055,-1.0444269195465985,-1.0521937150085299,-1.052563570809429,0
2017-10-17,-1.0266742290887312,-1.044241991646149,-1.0222361005635026,-1.0207566773599055,-1.0444269195465985,-1.0521937150085299,1
2017-10-18,-1.0259345174869328,-1.0266742290887312,-1.044241991646149,-1.0222361005635026,-1.0207566773599055,-1.0444269195465985,1
2017-10-19,-1.0481253717414192,-1.0259345174869328,-1.0266742290887312,-1.044241991646149,-1.0222361005635026,-1.0207566773599055,0
2017-10-20,-1.0294481123240848,-1.0481253717414192,-1.0259345174869328,-1.0266742290887312,-1.044241991646149,-1.0222361005635026,1
2017-10-23,-1.032961636618456,-1.0294481123240848,-1.0481253717414192,-1.0259345174869328,-1.0266742290887312,-1.044241991646149,0
2017-10-24,-1.0298179681249842,-1.032961636618456,-1.0294481123240848,-1.0481253717414192,-1.0259345174869328,-1.0266742290887312,1
2017-10-25,-1.0571866625064978,-1.0298179681249842,-1.032961636618456,-1.0294481123240848,-1.0481253717414192,-1.0259345174869328,0
2017-10-26,-1.0840005731866627,-1.0571866625064978,-1.0298179681249842,-1.032961636618456,-1.0294481123240848,-1.0481253717414192,0
2017-10-27,-1.076048849824282,-1.0840005731866627,-1.0571866625064978,-1.0298179681249842,-1.032961636618456,-1.0294481123240848,1
2017-10-30,-1.092322152349943,-1.076048849824282,-1.0840005731866627,-1.0571866625064978,-1.0298179681249842,-1.032961636618456,0
2017-10-31,-1.076048849824282,-1.092322152349943,-1.076048849824282,-1.0840005731866627,-1.0571866625064978,-1.0298179681249842,1
2017-11-01,-1.0889935206846308,-1.076048849824282,-1.092322152349943,-1.076048849824282,-1.0840005731866627,-1.0571866625064978,0
2017-11-02,-1.08104179732225,-1.0889935206846308,-1.076048849824282,-1.092322152349943,-1.076048849824282,-1.0840005731866627,1
2017-11-03,-1.1011984799431813,-1.08104179732225,-1.0889935206846308,-1.076048849824282,-1.092322152349943,-1.076048849824282,0
2017-11-06,-1.0906578365172868,-1.1011984799431813,-1.08104179732225,-1.0889935206846308,-1.076048849824282,-1.092322152349943,1
2017-11-07,-1.1185813146001493,-1.0906578365172868,-1.1011984799431813,-1.08104179732225,-1.0889935206846308,-1.076048849824282,0
2017-11-08,-1.1320807338904566,-1.1185813146001493,-1.0906578365172868,-1.1011984799431813,-1.08104179732225,-1.0889935206846308,0
2017-11-09,-1.1470595411129703,-1.1320807338904566,-1.1185813146001493,-1.0906578365172868,-1.1011984799431813,-1.08104179732225,0
2017-11-10,-1.1263481100620807,-1.1470595411129703,-1.1320807338904566,-1.1185813146001493,-1.0906578365172868,-1.1011984799431813,1
2017-11-13,-1.1701749995983144,-1.1263481100620807,-1.1470595411129703,-1.1320807338904566,-1.1185813146001493,-1.0906578365172868,0
2017-11-14,-1.18441413049042,-1.1701749995983144,-1.1263481100620807,-1.1470595411129703,-1.1320807338904566,-1.1185813146001493,0
2017-11-15,-1.1851538420922185,-1.18441413049042,-1.1701749995983144,-1.1263481100620807,-1.1470595411129703,-1.1320807338904566,0
2017-11-16,-1.1938452417850074,-1.1851538420922185,-1.18441413049042,-1.1701749995983144,-1.1263481100620807,-1.1470595411129703,0
2017-11-17,-1.1805307503951499,-1.1938452417850074,-1.1851538420922185,-1.18441413049042,-1.1701749995983144,-1.1263481100620807,1
2017-11-20,-1.1842292025899706,-1.1805307503951499,-1.1938452417850074,-1.1851538420922185,-1.18441413049042,-1.1701749995983144,0
2017-11-21,-1.1727639549332185,-1.1842292025899706,-1.1805307503951499,-1.1938452417850074,-1.1851538420922185,-1.18441413049042,1
2017-11-22,-1.1751679470962826,-1.1727639549332185,-1.1842292025899706,-1.1805307503951499,-1.1938452417850074,-1.1851538420922185,0
2017-11-24,-1.1729488475622776,-1.1751679470962826,-1.1727639549332185,-1.1842292025899706,-1.1805307503951499,-1.1938452417850074,1
2017-11-27,-1.1644423757699385,-1.1729488475622776,-1.1751679470962826,-1.1727639549332185,-1.1842292025899706,-1.1805307503951499,1
2017-11-28,-1.1500183169773832,-1.1644423757699385,-1.1729488475622776,-1.1751679470962826,-1.1727639549332185,-1.1842292025899706,1
2017-11-29,-1.1600042119733192,-1.1500183169773832,-1.1644423757699385,-1.1729488475622776,-1.1751679470962826,-1.1727639549332185,0
2017-11-30,-1.1662916195030442,-1.1600042119733192,-1.1500183169773832,-1.1644423757699385,-1.1729488475622776,-1.1751679470962826,0
