Date,Normalized Close,lag_1,lag_2,lag_3,lag_4,lag_5,label
2017-09-12,-1.6940730169396734,-1.6691188133261035,-1.742513496897956,-1.7997612604908815,-1.8115043986632384,-1.85554109681495,0
2017-09-13,-1.7293024314567422,-1.6940730169396734,-1.6691188133261035,-1.742513496897956,-1.7997612604908815,-1.8115043986632384,0
2017-09-14,-1.8276513186421657,-1.7293024314567422,-1.6940730169396734,-1.6691188133261035,-1.742513496897956,-1.7997612604908815,0
2017-09-15,-1.826183391373308,-1.8276513186421657,-1.7293024314567422,-1.6940730169396734,-1.6691188133261035,-1.742513496897956,1
2017-09-18,-1.7968254059531676,-1.826183391373308,-1.8276513186421657,-1.7293024314567422,-1.6940730169396734,-1.6691188133261035,1
2017-09-19,-1.7146234387466723,-1.7968254059531676,-1.826183391373308,-1.8276513186421657,-1.7293024314567422,-1.6940730169396734,1
2017-09-20,-1.7483849259948845,-1.7146234387466723,-1.7968254059531676,-1.826183391373308,-1.8276513186421657,-1.7293024314567422,0
2017-09-21,-1.7659997732426684,-1.7483849259948845,-1.7146234387466723,-1.7968254059531676,-1.826183391373308,-1.8276513186421657,0
2017-09-22,-1.8085685441255241,-1.7659997732426684,-1.7483849259948845,-1.7146234387466723,-1.7968254059531676,-1.826183391373308,0
2017-09-25,-1.7175592932843868,-1.8085685441255241,-1.7659997732426684,-1.7483849259948845,-1.7146234387466723,-1.7968254059531676,1
2017-09-26,-1.7337059332848153,-1.7175592932843868,-1.8085685441255241,-1.7659997732426684,-1.7483849259948845,-1.7146234387466723,0
2017-09-27,-1.6984765187677453,-1.7337059332848153,-1.7175592932843868,-1.8085685441255241,-1.7659997732426684,-1.7483849259948845,1
2017-09-28,-1.6368249733682492,-1.6984765187677453,-1.7337059332848153,-1.7175592932843868,-1.8085685441255241,-1.7659997732426684,1
2017-09-29,-1.6515039660783195,-1.6368249733682492,-1.6984765187677453,-1.7337059332848153,-1.7175592932843868,-1.8085685441255241,0
2017-10-02,-1.6221459806581788,-1.6515039660783195,-1.6368249733682492,-1.6984765187677453,-1.7337059332848153,-1.7175592932843868,1
