Date,Adj Close,Close,High,Low,Open,Volume
2021-10-19 00:00:00,23.5,23.5,25.0,23.5,24.0,31482
2021-10-20 00:00:00,24.0,24.0,24.5,23.5,24.0,12016
2021-10-21 00:00:00,23.5,23.5,24.5,23.5,24.0,13064
2021-10-22 00:00:00,22.5,22.5,23.5,22.0,23.5,20738
2021-10-25 00:00:00,22.0,22.0,22.5,21.5,22.5,25212
2021-10-26 00:00:00,22.5,22.5,23.5,22.0,22.0,25950
2021-10-27 00:00:00,22.5,22.5,23.5,22.5,23.5,22298
2021-10-28 00:00:00,23.0,23.0,23.5,22.5,23.0,13718
2021-10-29 00:00:00,22.5,22.5,23.0,22.0,22.5,16046
2021-11-01 00:00:00,23.5,23.5,24.0,23.0,23.0,19098
2021-11-02 00:00:00,23.5,23.5,24.0,23.0,23.5,10124
2021-11-03 00:00:00,23.5,23.5,23.5,23.0,23.5,10340
2021-11-04 00:00:00,23.5,23.5,23.5,23.0,23.5,8024
2021-11-05 00:00:00,22.5,22.5,23.5,22.5,23.5,15984
2021-11-08 00:00:00,23.0,23.0,23.0,22.5,22.5,11474
2021-11-09 00:00:00,22.5,22.5,23.0,22.0,22.5,12050
2021-11-10 00:00:00,21.5,21.5,22.5,21.0,22.0,24788
2021-11-11 00:00:00,21.0,21.0,21.5,21.0,21.5,14196
2021-11-12 00:00:00,21.5,21.5,21.5,20.5,20.5,16762
2021-11-15 00:00:00,21.5,21.5,21.5,21.0,21.0,13302
2021-11-16 00:00:00,20.5,20.5,21.5,19.0,21.5,43504
2021-11-17 00:00:00,19.5,19.5,20.5,19.5,19.5,19200
2021-11-18 00:00:00,20.0,20.0,22.5,19.5,20.0,68008
2021-11-19 00:00:00,19.5,19.5,20.0,19.0,20.0,25640
2021-11-22 00:00:00,18.0,18.0,19.5,17.5,19.5,29660
2021-11-23 00:00:00,19.0,19.0,19.5,18.0,18.5,25218
2021-11-24 00:00:00,19.0,19.0,19.5,18.5,18.5,9724
2021-11-26 00:00:00,19.5,19.5,21.0,18.5,18.5,27084
2021-11-29 00:00:00,20.0,20.0,24.5,19.0,20.0,258330
2021-11-30 00:00:00,18.5,18.5,20.0,18.0,20.0,60122
2021-12-01 00:00:00,18.0,18.0,20.0,18.0,19.5,27594
2021-12-02 00:00:00,19.0,19.0,20.0,17.5,18.0,48786
2021-12-03 00:00:00,17.5,17.5,19.0,17.0,19.0,39086
2021-12-06 00:00:00,18.5,18.5,19.0,17.0,17.5,32280
2021-12-07 00:00:00,19.5,19.5,21.0,18.0,18.5,74242
2021-12-08 00:00:00,20.0,20.0,20.5,19.0,19.5,16734
2021-12-09 00:00:00,19.5,19.5,21.5,19.5,20.0,38830
2021-12-10 00:00:00,19.0,19.0,20.0,18.5,20.0,15410
2021-12-13 00:00:00,18.5,18.5,19.5,18.0,18.5,37236
2021-12-14 00:00:00,18.0,18.0,18.5,17.5,18.0,18984
2021-12-15 00:00:00,17.5,17.5,18.0,17.0,18.0,18306
2021-12-16 00:00:00,17.0,17.0,18.5,17.0,18.0,13464
2021-12-17 00:00:00,18.0,18.0,18.5,17.0,17.5,13248
2021-12-20 00:00:00,18.0,18.0,19.0,17.5,17.5,14374
2021-12-21 00:00:00,18.0,18.0,18.5,17.5,17.5,14528
2021-12-22 00:00:00,20.0,20.0,23.0,17.5,17.5,32148
2021-12-23 00:00:00,19.5,19.5,20.5,19.0,20.0,20554
2021-12-27 00:00:00,18.0,18.0,19.5,18.0,18.0,14502
2021-12-28 00:00:00,16.5,16.5,18.0,16.5,18.0,37414
2021-12-29 00:00:00,15.5,15.5,17.0,15.0,16.5,40418
2021-12-30 00:00:00,15.5,15.5,16.5,15.0,15.5,37976
2021-12-31 00:00:00,15.5,15.5,16.0,14.5,15.5,44874
2022-01-03 00:00:00,16.5,16.5,16.5,15.5,15.5,21580
2022-01-04 00:00:00,16.5,16.5,17.0,16.0,17.0,12500
2022-01-05 00:00:00,15.5,15.5,17.0,15.5,16.5,13700
2022-01-06 00:00:00,15.0,15.0,16.0,15.0,15.5,7840
2022-01-07 00:00:00,15.0,15.0,16.0,15.0,15.0,8800
2022-01-10 00:00:00,14.5,14.5,15.5,14.5,15.5,11562
2022-01-11 00:00:00,15.0,15.0,16.0,14.5,14.5,38874
2022-01-12 00:00:00,14.5,14.5,15.5,14.5,14.5,8840
2022-01-13 00:00:00,13.5,13.5,15.0,13.5,14.5,18532
2022-01-14 00:00:00,14.5,14.5,15.0,14.0,14.0,8824
2022-01-18 00:00:00,13.5,13.5,15.0,13.0,14.5,10904
2022-01-19 00:00:00,13.5,13.5,14.0,13.0,13.5,10828
2022-01-20 00:00:00,13.0,13.0,14.5,12.5,13.5,10374
2022-01-21 00:00:00,12.5,12.5,13.0,12.5,13.0,12706
2022-01-24 00:00:00,11.5,11.5,12.5,11.0,12.0,25690
2022-01-25 00:00:00,13.0,13.0,13.5,11.5,11.5,19876
2022-01-26 00:00:00,12.5,12.5,13.5,12.5,13.0,12424
2022-01-27 00:00:00,12.0,12.0,13.0,11.5,12.5,13270
2022-01-28 00:00:00,12.0,12.0,12.5,11.5,12.5,7636
2022-01-31 00:00:00,13.5,13.5,14.0,12.5,13.0,9824
2022-02-01 00:00:00,14.5,14.5,15.0,13.5,14.0,15780
2022-02-02 00:00:00,14.5,14.5,15.5,14.0,15.5,10572
2022-02-03 00:00:00,13.5,13.5,14.5,13.0,13.0,10156
2022-02-04 00:00:00,13.5,13.5,14.0,12.5,12.5,4936
2022-02-07 00:00:00,14.5,14.5,15.0,13.0,13.0,11880
2022-02-08 00:00:00,14.0,14.0,15.0,14.0,14.5,6080
2022-02-09 00:00:00,14.5,14.5,15.0,13.5,14.0,15942
2022-02-10 00:00:00,14.0,14.0,15.0,14.0,14.0,9602
2022-02-11 00:00:00,13.5,13.5,15.0,13.5,14.0,7236
2022-02-14 00:00:00,13.5,13.5,14.0,13.5,13.5,5346
2022-02-15 00:00:00,13.5,13.5,14.0,13.0,14.0,10132
2022-02-16 00:00:00,13.5,13.5,14.0,13.5,14.0,7318
2022-02-17 00:00:00,13.0,13.0,14.0,13.0,14.0,6714
2022-02-18 00:00:00,13.0,13.0,13.5,12.5,13.5,8938
2022-02-22 00:00:00,12.0,12.0,13.0,10.0,12.5,19056
2022-02-23 00:00:00,11.0,11.0,12.0,11.0,11.5,8842
2022-02-24 00:00:00,11.5,11.5,12.0,10.0,10.5,13742
2022-02-25 00:00:00,11.5,11.5,12.0,11.5,12.0,12712
2022-02-28 00:00:00,11.5,11.5,13.5,11.5,13.5,10370
2022-03-01 00:00:00,12.5,12.5,14.5,11.5,11.5,45314
2022-03-02 00:00:00,13.5,13.5,14.5,12.5,13.0,41282
2022-03-03 00:00:00,13.5,13.5,14.5,12.5,13.5,29864
2022-03-04 00:00:00,12.5,12.5,13.5,12.0,13.0,18092
2022-03-07 00:00:00,11.5,11.5,12.5,11.5,12.0,17150
2022-03-08 00:00:00,11.5,11.5,12.0,10.5,11.5,22724
2022-03-09 00:00:00,12.0,12.0,12.0,11.5,12.0,19280
2022-03-10 00:00:00,12.0,12.0,13.0,11.5,13.0,7488
