Date,Normalized Close,lag_1,lag_2,lag_3,lag_4,lag_5,label
2017-09-12,-2.519894881167083,-2.519894881167083,-2.528585843896022,-2.519894881167083,-2.5633496948117767,-2.658950492038998,1
2017-09-13,-2.502512955709206,-2.519894881167083,-2.519894881167083,-2.528585843896022,-2.519894881167083,-2.5633496948117767,1
2017-09-14,-2.5459677693538993,-2.502512955709206,-2.519894881167083,-2.519894881167083,-2.528585843896022,-2.519894881167083,0
2017-09-15,-2.572040657540715,-2.5459677693538993,-2.502512955709206,-2.519894881167083,-2.519894881167083,-2.528585843896022,0
2017-09-18,-2.6154956783943044,-2.572040657540715,-2.5459677693538993,-2.502512955709206,-2.519894881167083,-2.519894881167083,0
2017-09-19,-2.7024053056836914,-2.6154956783943044,-2.572040657540715,-2.5459677693538993,-2.502512955709206,-2.519894881167083,0
2017-09-20,-2.6676414547679363,-2.7024053056836914,-2.6154956783943044,-2.572040657540715,-2.5459677693538993,-2.502512955709206,1
2017-09-21,-2.5894227902074887,-2.6676414547679363,-2.7024053056836914,-2.6154956783943044,-2.572040657540715,-2.5459677693538993,1
2017-09-22,-2.598113752936427,-2.5894227902074887,-2.6676414547679363,-2.7024053056836914,-2.6154956783943044,-2.572040657540715,0
2017-09-25,-2.528585843896022,-2.598113752936427,-2.5894227902074887,-2.6676414547679363,-2.7024053056836914,-2.6154956783943044,1
2017-09-26,-2.502512955709206,-2.528585843896022,-2.598113752936427,-2.5894227902074887,-2.6676414547679363,-2.7024053056836914,1
2017-09-27,-2.4938219929802674,-2.502512955709206,-2.528585843896022,-2.598113752936427,-2.5894227902074887,-2.6676414547679363,1
2017-09-28,-2.4851310302513285,-2.4938219929802674,-2.502512955709206,-2.528585843896022,-2.598113752936427,-2.5894227902074887,1
2017-09-29,-2.4851310302513285,-2.4851310302513285,-2.4938219929802674,-2.502512955709206,-2.528585843896022,-2.598113752936427,1
2017-10-02,-2.3634575520461873,-2.4851310302513285,-2.4851310302513285,-2.4938219929802674,-2.502512955709206,-2.528585843896022,1
2017-10-03,-2.3286934939215365,-2.3634575520461873,-2.4851310302513285,-2.4851310302513285,-2.4938219929802674,-2.502512955709206,1
2017-10-04,-2.4069123656908804,-2.3286934939215365,-2.3634575520461873,-2.4851310302513285,-2.4851310302513285,-2.4938219929802674,0
2017-10-05,-2.2070200157163953,-2.4069123656908804,-2.3286934939215365,-2.3634575520461873,-2.4851310302513285,-2.4851310302513285,1
2017-10-06,-2.233092903903211,-2.2070200157163953,-2.4069123656908804,-2.3286934939215365,-2.3634575520461873,-2.4851310302513285,0
2017-10-09,-2.372148514775126,-2.233092903903211,-2.2070200157163953,-2.4069123656908804,-2.3286934939215365,-2.3634575520461873,0
2017-10-10,-2.3286934939215365,-2.372148514775126,-2.233092903903211,-2.2070200157163953,-2.4069123656908804,-2.3286934939215365,1
2017-10-11,-2.233092903903211,-2.3286934939215365,-2.372148514775126,-2.233092903903211,-2.2070200157163953,-2.4069123656908804,1
2017-10-12,-2.102728255760235,-2.233092903903211,-2.3286934939215365,-2.372148514775126,-2.233092903903211,-2.2070200157163953,1
2017-10-13,-2.1548742393427633,-2.102728255760235,-2.233092903903211,-2.3286934939215365,-2.372148514775126,-2.233092903903211,0
2017-10-16,-2.1635652020717018,-2.1548742393427633,-2.102728255760235,-2.233092903903211,-2.3286934939215365,-2.372148514775126,0
2017-10-17,-2.2157109784453333,-2.1635652020717018,-2.1548742393427633,-2.102728255760235,-2.233092903903211,-2.3286934939215365,0
2017-10-18,-2.2504748293610883,-2.2157109784453333,-2.1635652020717018,-2.1548742393427633,-2.102728255760235,-2.233092903903211,0
2017-10-19,-2.2504748293610883,-2.2504748293610883,-2.2157109784453333,-2.1635652020717018,-2.1548742393427633,-2.102728255760235,1
2017-10-20,-2.259165792090027,-2.2504748293610883,-2.2504748293610883,-2.2157109784453333,-2.1635652020717018,-2.1548742393427633,0
2017-10-23,-2.3026206057347203,-2.259165792090027,-2.2504748293610883,-2.2504748293610883,-2.2157109784453333,-2.1635652020717018,0
2017-10-24,-2.3634575520461873,-2.3026206057347203,-2.259165792090027,-2.2504748293610883,-2.2504748293610883,-2.2157109784453333,0
2017-10-25,-2.3634575520461873,-2.3634575520461873,-2.3026206057347203,-2.259165792090027,-2.2504748293610883,-2.2504748293610883,1
2017-10-26,-2.398221402961942,-2.3634575520461873,-2.3634575520461873,-2.3026206057347203,-2.259165792090027,-2.2504748293610883,0
2017-10-27,-2.3547663821083527,-2.398221402961942,-2.3634575520461873,-2.3634575520461873,-2.3026206057347203,-2.259165792090027,1
2017-10-30,-2.337384456650475,-2.3547663821083527,-2.398221402961942,-2.3634575520461873,-2.3634575520461873,-2.3026206057347203,1
2017-10-31,-2.3634575520461873,-2.337384456650475,-2.3547663821083527,-2.398221402961942,-2.3634575520461873,-2.3634575520461873,0
2017-11-01,-2.4590581420645123,-2.3634575520461873,-2.337384456650475,-2.3547663821083527,-2.398221402961942,-2.3634575520461873,0
2017-11-02,-2.3547663821083527,-2.4590581420645123,-2.3634575520461873,-2.337384456650475,-2.3547663821083527,-2.398221402961942,1
2017-11-03,-1.7985443530384857,-2.3547663821083527,-2.4590581420645123,-2.3634575520461873,-2.337384456650475,-2.3547663821083527,1
2017-11-06,-1.8246172412253017,-1.7985443530384857,-2.3547663821083527,-2.4590581420645123,-2.3634575520461873,-2.337384456650475,0
2017-11-07,-1.8246172412253017,-1.8246172412253017,-1.7985443530384857,-2.3547663821083527,-2.4590581420645123,-2.3634575520461873,1
2017-11-08,-1.8333082039542403,-1.8246172412253017,-1.8246172412253017,-1.7985443530384857,-2.3547663821083527,-2.4590581420645123,0
2017-11-09,-1.7290166512069765,-1.8333082039542403,-1.8246172412253017,-1.8246172412253017,-1.7985443530384857,-2.3547663821083527,1
2017-11-10,-1.7290166512069765,-1.7290166512069765,-1.8333082039542403,-1.8246172412253017,-1.8246172412253017,-1.7985443530384857,1
2017-11-13,-1.7463985766648538,-1.7290166512069765,-1.7290166512069765,-1.8333082039542403,-1.8246172412253017,-1.8246172412253017,0
2017-11-14,-1.8072353157674244,-1.7463985766648538,-1.7290166512069765,-1.7290166512069765,-1.8333082039542403,-1.8246172412253017,0
2017-11-15,-1.7029435558112642,-1.8072353157674244,-1.7463985766648538,-1.7290166512069765,-1.7290166512069765,-1.8333082039542403,1
2017-11-16,-1.6507977794376323,-1.7029435558112642,-1.8072353157674244,-1.7463985766648538,-1.7290166512069765,-1.7290166512069765,1
2017-11-17,-1.5986520030640003,-1.6507977794376323,-1.7029435558112642,-1.8072353157674244,-1.7463985766648538,-1.7290166512069765,1
2017-11-20,-1.5986520030640003,-1.5986520030640003,-1.6507977794376323,-1.7029435558112642,-1.8072353157674244,-1.7463985766648538,1
2017-11-21,-1.633415853979755,-1.5986520030640003,-1.5986520030640003,-1.6507977794376323,-1.7029435558112642,-1.8072353157674244,0
2017-11-22,-1.607342965792939,-1.633415853979755,-1.5986520030640003,-1.5986520030640003,-1.6507977794376323,-1.7029435558112642,1
2017-11-24,-1.5465062266903684,-1.607342965792939,-1.633415853979755,-1.5986520030640003,-1.5986520030640003,-1.6507977794376323,1
2017-11-27,-1.4943604503167363,-1.5465062266903684,-1.607342965792939,-1.633415853979755,-1.5986520030640003,-1.5986520030640003,1
2017-11-28,-1.4422144667342083,-1.4943604503167363,-1.5465062266903684,-1.607342965792939,-1.633415853979755,-1.5986520030640003,1
2017-11-29,-1.4595963921920851,-1.4422144667342083,-1.4943604503167363,-1.5465062266903684,-1.607342965792939,-1.633415853979755,0
2017-11-30,-1.424832541276331,-1.4595963921920851,-1.4422144667342083,-1.4943604503167363,-1.5465062266903684,-1.607342965792939,1
2017-12-01,-1.476978317649963,-1.424832541276331,-1.4595963921920851,-1.4422144667342083,-1.4943604503167363,-1.5465062266903684,0
2017-12-04,-1.6160339285218777,-1.476978317649963,-1.424832541276331,-1.4595963921920851,-1.4422144667342083,-1.4943604503167363,0
2017-12-05,-1.66817970489551,-1.6160339285218777,-1.476978317649963,-1.424832541276331,-1.4595963921920851,-1.4422144667342083,0
2017-12-06,-1.7203256884780378,-1.66817970489551,-1.6160339285218777,-1.476978317649963,-1.424832541276331,-1.4595963921920851,0
2017-12-07,-1.6855616303533865,-1.7203256884780378,-1.66817970489551,-1.6160339285218777,-1.476978317649963,-1.424832541276331,1
2017-12-08,-1.6942525930823256,-1.6855616303533865,-1.7203256884780378,-1.66817970489551,-1.6160339285218777,-1.476978317649963,0
2017-12-11,-1.7116347257490991,-1.6942525930823256,-1.6855616303533865,-1.7203256884780378,-1.66817970489551,-1.6160339285218777,0
2017-12-12,-1.7116347257490991,-1.7116347257490991,-1.6942525930823256,-1.6855616303533865,-1.7203256884780378,-1.66817970489551,1
2017-12-13,-1.555197189419307,-1.7116347257490991,-1.7116347257490991,-1.6942525930823256,-1.6855616303533865,-1.7203256884780378,1
