Date,Normalized Close,lag_1,lag_2,lag_3,lag_4,lag_5,label
2017-09-12,-1.1732035572041433,-1.1494354597241392,-1.1249467727289815,-1.1110218474313174,-1.1669615009007863,-1.119184620983251,0
2017-09-13,-1.1736838281011266,-1.1732035572041433,-1.1494354597241392,-1.1249467727289815,-1.1110218474313174,-1.1669615009007863,0
2017-09-14,-1.25579256719616,-1.1736838281011266,-1.1732035572041433,-1.1494354597241392,-1.1249467727289815,-1.1110218474313174,0
2017-09-15,-1.2502707340686,-1.25579256719616,-1.1736838281011266,-1.1732035572041433,-1.1494354597241392,-1.1249467727289815,1
2017-09-18,-1.260114272590297,-1.2502707340686,-1.25579256719616,-1.1736838281011266,-1.1732035572041433,-1.1494354597241392,0
2017-09-19,-1.2649158825420606,-1.260114272590297,-1.2502707340686,-1.25579256719616,-1.1736838281011266,-1.1732035572041433,0
2017-09-20,-1.2716382097424006,-1.2649158825420606,-1.260114272590297,-1.2502707340686,-1.25579256719616,-1.1736838281011266,0
2017-09-21,-1.2874838522886414,-1.2716382097424006,-1.2649158825420606,-1.260114272590297,-1.2502707340686,-1.25579256719616,0
2017-09-22,-1.3066906584350522,-1.2874838522886414,-1.2716382097424006,-1.2649158825420606,-1.260114272590297,-1.2502707340686,0
2017-09-25,-1.3585485587891974,-1.3066906584350522,-1.2874838522886414,-1.2716382097424006,-1.2649158825420606,-1.260114272590297,0
2017-09-26,-1.3739139304384547,-1.3585485587891974,-1.3066906584350522,-1.2874838522886414,-1.2716382097424006,-1.2649158825420606,0
2017-09-27,-1.3592687819649942,-1.3739139304384547,-1.3585485587891974,-1.3066906584350522,-1.2874838522886414,-1.2716382097424006,1
2017-09-28,-1.3460644461824838,-1.3592687819649942,-1.3739139304384547,-1.3585485587891974,-1.3066906584350522,-1.2874838522886414,1
2017-09-29,-1.287964123185625,-1.3460644461824838,-1.3592687819649942,-1.3739139304384547,-1.3585485587891974,-1.3066906584350522,1
2017-10-02,-1.2834024655126746,-1.287964123185625,-1.3460644461824838,-1.3592687819649942,-1.3739139304384547,-1.3585485587891974,1
2017-10-03,-1.2766801383123343,-1.2834024655126746,-1.287964123185625,-1.3460644461824838,-1.3592687819649942,-1.3739139304384547,1
2017-10-04,-1.2766801383123343,-1.2766801383123343,-1.2834024655126746,-1.287964123185625,-1.3460644461824838,-1.3592687819649942,1
2017-10-05,-1.2817217005429111,-1.2766801383123343,-1.2766801383123343,-1.2834024655126746,-1.287964123185625,-1.3460644461824838,0
2017-10-06,-1.2144980622001516,-1.2817217005429111,-1.2766801383123343,-1.2766801383123343,-1.2834024655126746,-1.287964123185625,1
2017-10-09,-1.2036943482238445,-1.2144980622001516,-1.2817217005429111,-1.2766801383123343,-1.2766801383123343,-1.2834024655126746,1
2017-10-10,-1.2284229874978156,-1.2036943482238445,-1.2144980622001516,-1.2817217005429111,-1.2766801383123343,-1.2766801383123343,0
2017-10-11,-1.2404271955469026,-1.2284229874978156,-1.2036943482238445,-1.2144980622001516,-1.2817217005429111,-1.2766801383123343,0
2017-10-12,-1.2413877373408695,-1.2404271955469026,-1.2284229874978156,-1.2036943482238445,-1.2144980622001516,-1.2817217005429111,0
2017-10-13,-1.2670765520694505,-1.2413877373408695,-1.2404271955469026,-1.2284229874978156,-1.2036943482238445,-1.2144980622001516,0
2017-10-16,-1.2241016484430356,-1.2670765520694505,-1.2413877373408695,-1.2404271955469026,-1.2284229874978156,-1.2036943482238445,1
2017-10-17,-1.2156985562729317,-1.2241016484430356,-1.2670765520694505,-1.2413877373408695,-1.2404271955469026,-1.2284229874978156,1
2017-10-18,-1.2226612020914422,-1.2156985562729317,-1.2241016484430356,-1.2670765520694505,-1.2413877373408695,-1.2404271955469026,0
2017-10-19,-1.2265022702492387,-1.2226612020914422,-1.2156985562729317,-1.2241016484430356,-1.2670765520694505,-1.2413877373408695,0
2017-10-20,-1.2257820470734422,-1.2265022702492387,-1.2226612020914422,-1.2156985562729317,-1.2241016484430356,-1.2670765520694505,1
2017-10-23,-1.3114922683868158,-1.2257820470734422,-1.2265022702492387,-1.2226612020914422,-1.2156985562729317,-1.2241016484430356,0
2017-10-24,-1.3102917743140357,-1.3114922683868158,-1.2257820470734422,-1.2265022702492387,-1.2226612020914422,-1.2156985562729317,1
2017-10-25,-1.4137679890828698,-1.3102917743140357,-1.3114922683868158,-1.2257820470734422,-1.2265022702492387,-1.2226612020914422,0
2017-10-26,-1.4867537791713596,-1.4137679890828698,-1.3102917743140357,-1.3114922683868158,-1.2257820470734422,-1.2265022702492387,0
2017-10-27,-1.3343001904122098,-1.4867537791713596,-1.4137679890828698,-1.3102917743140357,-1.3114922683868158,-1.2257820470734422,1
2017-10-30,-1.348225115709874,-1.3343001904122098,-1.4867537791713596,-1.4137679890828698,-1.3102917743140357,-1.3114922683868158,0
2017-10-31,-1.4274529621017205,-1.348225115709874,-1.3343001904122098,-1.4867537791713596,-1.4137679890828698,-1.3102917743140357,0
2017-11-01,-1.5138830402515338,-1.4274529621017205,-1.348225115709874,-1.3343001904122098,-1.4867537791713596,-1.4137679890828698,0
2017-11-02,-1.4593841994730152,-1.5138830402515338,-1.4274529621017205,-1.348225115709874,-1.3343001904122098,-1.4867537791713596,1
2017-11-03,-1.33766135401238,-1.4593841994730152,-1.5138830402515338,-1.4274529621017205,-1.348225115709874,-1.3343001904122098,1
2017-11-06,-1.3614298178317412,-1.33766135401238,-1.4593841994730152,-1.5138830402515338,-1.4274529621017205,-1.348225115709874,0
2017-11-07,-1.305490164362272,-1.3614298178317412,-1.33766135401238,-1.4593841994730152,-1.5138830402515338,-1.4274529621017205,1
2017-11-08,-1.3993631592275795,-1.305490164362272,-1.3614298178317412,-1.33766135401238,-1.4593841994730152,-1.5138830402515338,0
2017-11-09,-1.3808765762569652,-1.3993631592275795,-1.305490164362272,-1.3614298178317412,-1.33766135401238,-1.4593841994730152,1
2017-11-10,-1.3671916032381144,-1.3808765762569652,-1.3993631592275795,-1.305490164362272,-1.3614298178317412,-1.33766135401238,1
2017-11-13,-1.3842377398571353,-1.3671916032381144,-1.3808765762569652,-1.3993631592275795,-1.305490164362272,-1.3614298178317412,0
2017-11-14,-1.389279302087712,-1.3842377398571353,-1.3671916032381144,-1.3808765762569652,-1.3993631592275795,-1.305490164362272,0
2017-11-15,-1.3691123204866913,-1.389279302087712,-1.3842377398571353,-1.3671916032381144,-1.3808765762569652,-1.3993631592275795,1
2017-11-16,-1.3863984093845254,-1.3691123204866913,-1.389279302087712,-1.3842377398571353,-1.3671916032381144,-1.3808765762569652,0
2017-11-17,-1.3991228406094092,-1.3863984093845254,-1.3691123204866913,-1.389279302087712,-1.3842377398571353,-1.3671916032381144,0
2017-11-20,-1.465626255776372,-1.3991228406094092,-1.3863984093845254,-1.3691123204866913,-1.389279302087712,-1.3842377398571353,0
2017-11-21,-1.4543422709030815,-1.465626255776372,-1.3991228406094092,-1.3863984093845254,-1.3691123204866913,-1.389279302087712,1
2017-11-22,-1.4080062036764964,-1.4543422709030815,-1.465626255776372,-1.3991228406094092,-1.3863984093845254,-1.3691123204866913,1
2017-11-24,-1.4197700931074133,-1.4080062036764964,-1.4543422709030815,-1.465626255776372,-1.3991228406094092,-1.3863984093845254,0
2017-11-27,-1.3717532609110648,-1.4197700931074133,-1.4080062036764964,-1.4543422709030815,-1.465626255776372,-1.3991228406094092,1
2017-11-28,-1.401283510136799,-1.3717532609110648,-1.4197700931074133,-1.4080062036764964,-1.4543422709030815,-1.465626255776372,0
2017-11-29,-1.4869937314501729,-1.401283510136799,-1.3717532609110648,-1.4197700931074133,-1.4080062036764964,-1.4543422709030815,0
2017-11-30,-1.4740293479464757,-1.4869937314501729,-1.401283510136799,-1.3717532609110648,-1.4197700931074133,-1.4080062036764964,1
2017-12-01,-1.5580588042900858,-1.4740293479464757,-1.4869937314501729,-1.401283510136799,-1.3717532609110648,-1.4197700931074133,0
2017-12-04,-1.6060756364864344,-1.5580588042900858,-1.4740293479464757,-1.4869937314501729,-1.401283510136799,-1.3717532609110648,0
2017-12-05,-1.6163990795657581,-1.6060756364864344,-1.5580588042900858,-1.4740293479464757,-1.4869937314501729,-1.401283510136799,0
2017-12-06,-1.6423282129125092,-1.6163990795657581,-1.6060756364864344,-1.5580588042900858,-1.4740293479464757,-1.4869937314501729,0
2017-12-07,-1.6063155887652476,-1.6423282129125092,-1.6163990795657581,-1.6060756364864344,-1.5580588042900858,-1.4740293479464757,1
2017-12-08,-1.490354895050343,-1.6063155887652476,-1.6423282129125092,-1.6163990795657581,-1.6060756364864344,-1.5580588042900858,1
2017-12-11,-1.5366913286162849,-1.490354895050343,-1.6063155887652476,-1.6423282129125092,-1.6163990795657581,-1.6060756364864344,0
2017-12-12,-1.5551775452475423,-1.5366913286162849,-1.490354895050343,-1.6063155887652476,-1.6423282129125092,-1.6163990795657581,0
2017-12-13,-1.4617848212792184,-1.5551775452475423,-1.5366913286162849,-1.490354895050343,-1.6063155887652476,-1.6423282129125092,1
2017-12-14,-1.516284028397094,-1.4617848212792184,-1.5551775452475423,-1.5366913286162849,-1.490354895050343,-1.6063155887652476,0
2017-12-15,-1.4363359588294506,-1.516284028397094,-1.4617848212792184,-1.5551775452475423,-1.5366913286162849,-1.490354895050343,1
2017-12-18,-1.4464194496299612,-1.4363359588294506,-1.516284028397094,-1.4617848212792184,-1.5551775452475423,-1.5366913286162849,0
2017-12-19,-1.4533820954484715,-1.4464194496299612,-1.4363359588294506,-1.516284028397094,-1.4617848212792184,-1.5551775452475423,0
2017-12-20,-1.4541023186242683,-1.4533820954484715,-1.4464194496299612,-1.4363359588294506,-1.516284028397094,-1.4617848212792184,0
2017-12-21,-1.3652708859895377,-1.4541023186242683,-1.4533820954484715,-1.4464194496299612,-1.4363359588294506,-1.516284028397094,1
2017-12-22,-1.33766135401238,-1.3652708859895377,-1.4541023186242683,-1.4533820954484715,-1.4464194496299612,-1.4363359588294506,1
2017-12-26,-1.322535934641936,-1.33766135401238,-1.3652708859895377,-1.4541023186242683,-1.4533820954484715,-1.4464194496299612,1
2017-12-27,-1.2997280126165418,-1.322535934641936,-1.33766135401238,-1.3652708859895377,-1.4541023186242683,-1.4533820954484715,1
2017-12-28,-1.3088513279624423,-1.2997280126165418,-1.322535934641936,-1.33766135401238,-1.3652708859895377,-1.4541023186242683,0
2017-12-29,-1.3403022944367535,-1.3088513279624423,-1.2997280126165418,-1.322535934641936,-1.33766135401238,-1.3652708859895377,0
2018-01-02,-1.2670765520694505,-1.3403022944367535,-1.3088513279624423,-1.2997280126165418,-1.322535934641936,-1.33766135401238,1
2018-01-03,-1.2886843463614215,-1.2670765520694505,-1.3403022944367535,-1.3088513279624423,-1.2997280126165418,-1.322535934641936,0
2018-01-04,-1.263235117572297,-1.2886843463614215,-1.2670765520694505,-1.3403022944367535,-1.3088513279624423,-1.2997280126165418,1
2018-01-05,-1.2003331846236744,-1.263235117572297,-1.2886843463614215,-1.2670765520694505,-1.3403022944367535,-1.3088513279624423,1
2018-01-08,-1.1715231585737367,-1.2003331846236744,-1.263235117572297,-1.2886843463614215,-1.2670765520694505,-1.3403022944367535,1
2018-01-09,-1.1926506819687244,-1.1715231585737367,-1.2003331846236744,-1.263235117572297,-1.2886843463614215,-1.2670765520694505,0
2018-01-10,-1.1597589028034627,-1.1926506819687244,-1.1715231585737367,-1.2003331846236744,-1.263235117572297,-1.2886843463614215,1
2018-01-11,-1.1352705821476619,-1.1597589028034627,-1.1926506819687244,-1.1715231585737367,-1.2003331846236744,-1.263235117572297,1
2018-01-12,-1.1465545670209525,-1.1352705821476619,-1.1597589028034627,-1.1926506819687244,-1.1715231585737367,-1.2003331846236744,0
2018-01-16,-1.199852913726691,-1.1465545670209525,-1.1352705821476619,-1.1597589028034627,-1.1926506819687244,-1.1715231585737367,0
2018-01-17,-1.1691221704281765,-1.199852913726691,-1.1465545670209525,-1.1352705821476619,-1.1597589028034627,-1.1926506819687244,1
2018-01-18,-1.1643205604764129,-1.1691221704281765,-1.199852913726691,-1.1465545670209525,-1.1352705821476619,-1.1597589028034627,1
2018-01-19,-1.1455940252269856,-1.1643205604764129,-1.1691221704281765,-1.199852913726691,-1.1465545670209525,-1.1352705821476619,1
2018-01-22,-1.0510008071858816,-1.1455940252269856,-1.1643205604764129,-1.1691221704281765,-1.199852913726691,-1.1465545670209525,1
2018-01-23,-0.9388815479681305,-1.0510008071858816,-1.1455940252269856,-1.1643205604764129,-1.1691221704281765,-1.199852913726691,1
2018-01-24,-0.917994343191313,-0.9388815479681305,-1.0510008071858816,-1.1455940252269856,-1.1643205604764129,-1.1691221704281765,1
2018-01-25,-0.947044321520064,-0.917994343191313,-0.9388815479681305,-1.0510008071858816,-1.1455940252269856,-1.1643205604764129,0
2018-01-26,-0.8757392964013379,-0.947044321520064,-0.917994343191313,-0.9388815479681305,-1.0510008071858816,-1.1455940252269856,1
2018-01-29,-0.92543689356745,-0.8757392964013379,-0.947044321520064,-0.917994343191313,-0.9388815479681305,-1.0510008071858816,0
