Date,Close,Volume,Daily Returns,Monthly Moving Average,Quarterly Moving Average,lag_1,lag_2,lag_3,lag_4,lag_5,label
2017-09-13,-1.2450864281700058,-0.13687390165528535,0.4260103546147678,-1.2789792068235926,-1.3010878180886019,-1.2535639481340501,-1.2535639481340501,-1.2648673530017407,-1.2705190419608965,-1.281822419879208,1
2017-09-14,-1.259215664042585,-0.13647269125244976,-0.8554596388218629,-1.2802047876484177,-1.3014918967605946,-1.2450864281700058,-1.2535639481340501,-1.2535639481340501,-1.2648673530017407,-1.2705190419608965,0
2017-09-15,-1.2535639481340501,-0.146001438319795,0.26870981766202207,-1.2818388958477422,-1.3014133619203152,-1.259215664042585,-1.2450864281700058,-1.2535639481340501,-1.2535639481340501,-1.2648673530017407,1
2017-09-18,-1.2648673530017407,-0.14705461562723843,-0.7118147837417534,-1.2829283017468494,-1.3013379068776936,-1.2535639481340501,-1.259215664042585,-1.2450864281700058,-1.2535639481340501,-1.2535639481340501,0
2017-09-19,-1.2761707309200523,-0.13993313097690674,-0.733130816879407,-1.284834762394955,-1.301265353952096,-1.2648673530017407,-1.2535639481340501,-1.259215664042585,-1.2450864281700058,-1.2535639481340501,0
2017-09-20,-1.281822419879208,-0.14123706478612238,-0.40876074462579104,-1.2863326956685615,-1.3012791476906749,-1.2761707309200523,-1.2648673530017407,-1.2535639481340501,-1.259215664042585,-1.2450864281700058,0
2017-09-21,-1.281822419879208,-0.1372249607577665,-0.06162788313505841,-1.2860603445184529,-1.3011563824753218,-1.281822419879208,-1.2761707309200523,-1.2648673530017407,-1.2535639481340501,-1.259215664042585,1
2017-09-22,-1.281822419879208,-0.1247372869695088,-0.06162788313505841,-1.2860603445184529,-1.3009850754735264,-1.281822419879208,-1.281822419879208,-1.2761707309200523,-1.2648673530017407,-1.2535639481340501,1
2017-09-25,-1.2789965888743196,-0.14244069599462916,0.11493022742653196,-1.285515640919563,-1.300819886578938,-1.281822419879208,-1.281822419879208,-1.281822419879208,-1.2761707309200523,-1.2648673530017407,1
2017-09-26,-1.2761707309200523,-0.13612163214996864,0.11342286176436564,-1.2857879933683443,-1.3017857044639736,-1.2789965888743196,-1.281822419879208,-1.281822419879208,-1.281822419879208,-1.2761707309200523,1
