Date,Close,Volume,Daily Returns,Monthly Moving Average,Quarterly Moving Average,lag_1,lag_2,lag_3,lag_4,lag_5,Target
2017-09-13,-1.3202517622332592,-1.2426166944880819,0.10412853426743472,-1.3360647595636417,-1.3806096395571883,-1.3234940831863227,-1.3172796905224728,-1.3283575388484463,-1.3186306275241992,-1.3356527223416317,-1.3186306275241992
2017-09-14,-1.3186306275241992,-1.1402577917462522,0.028707724499762517,-1.3391014268490364,-1.3806005266752048,-1.3202517622332592,-1.3234940831863227,-1.3172796905224728,-1.3283575388484463,-1.3186306275241992,-1.3161988996931373
2017-09-15,-1.3161988996931373,-1.1956267114816002,0.0655948454974468,-1.3427376066738599,-1.3805579376128514,-1.3186306275241992,-1.3202517622332592,-1.3234940831863227,-1.3172796905224728,-1.3283575388484463,-1.3194412206462007
2017-09-18,-1.3194412206462007,-1.1621109645661338,-0.1935515360451458,-1.3454614844840096,-1.3803566615933487,-1.3161988996931373,-1.3186306275241992,-1.3202517622332592,-1.3234940831863227,-1.3172796905224728,-1.3280873411411125
2017-09-19,-1.3280873411411125,-1.1762645739054356,-0.4423375153595915,-1.3473382213354794,-1.38063494797088,-1.3194412206462007,-1.3161988996931373,-1.3186306275241992,-1.3202517622332592,-1.3234940831863227,-1.3234940831863227
2017-09-20,-1.3234940831863227,-1.1758116584065779,0.16850849975766935,-1.3487848748335882,-1.380775031222491,-1.3280873411411125,-1.3194412206462007,-1.3161988996931373,-1.3186306275241992,-1.3202517622332592,-1.3207921576479271
2017-09-21,-1.3207921576479271,-0.9079121408322758,0.07914571517538901,-1.3478465039220235,-1.3807114763535342,-1.3234940831863227,-1.3280873411411125,-1.3194412206462007,-1.3161988996931373,-1.3186306275241992,-1.3221431461845965
2017-09-22,-1.3221431461845965,-1.1307465662702414,-0.10789466863218826,-1.3475858472689008,-1.3807220161905158,-1.3207921576479271,-1.3234940831863227,-1.3280873411411125,-1.3194412206462007,-1.3161988996931373,-1.322683490064321
2017-09-25,-1.322683490064321,-1.116932643555083,-0.07068059344162558,-1.3463346868820916,-1.3811249772355958,-1.3221431461845965,-1.3207921576479271,-1.3234940831863227,-1.3280873411411125,-1.3194412206462007,-1.3748304622760679
2017-09-26,-1.3748304622760679,-0.774302068669268,-2.4527366059126137,-1.345943698173663,-1.381607801386275,-1.322683490064321,-1.3221431461845965,-1.3207921576479271,-1.3234940831863227,-1.3280873411411125,-1.3815852503545853
2017-09-27,-1.3815852503545853,-0.9483348491053214,-0.3929047375040418,-1.3461000941542003,-1.382555335324181,-1.3748304622760679,-1.322683490064321,-1.3221431461845965,-1.3207921576479271,-1.3234940831863227,-1.3615910838263665
2017-09-28,-1.3615910838263665,-0.9866062087587931,0.9970823372987441,-1.34651714927369,-1.383231759376714,-1.3815852503545853,-1.3748304622760679,-1.322683490064321,-1.3221431461845965,-1.3207921576479271,-1.3518641725021194
2017-09-29,-1.3518641725021194,-1.1578082673269863,0.44012597742387993,-1.3474033873631324,-1.3837446321658093,-1.3615910838263665,-1.3815852503545853,-1.3748304622760679,-1.322683490064321,-1.3221431461845965,-1.3378142524653596
2017-10-02,-1.3378142524653596,-0.8402012737530566,0.6419358658247091,-1.3483808554054588,-1.384374759399986,-1.3518641725021194,-1.3615910838263665,-1.3815852503545853,-1.3748304622760679,-1.322683490064321,-1.3180902321095314
2017-10-03,-1.3180902321095314,-0.7052324550934759,0.8923675115413464,-1.3493843898588465,-1.384893589180479,-1.3378142524653596,-1.3518641725021194,-1.3615910838263665,-1.3815852503545853,-1.3748304622760679,-1.318900825231533
2017-10-04,-1.318900825231533,-0.8345398300173359,-0.08284823511272942,-1.3506355477598262,-1.3850557475742309,-1.3180902321095314,-1.3378142524653596,-1.3518641725021194,-1.3615910838263665,-1.3815852503545853,-1.3161988996931373
2017-10-05,-1.3161988996931373,-0.9554682682123294,0.07803335265235643,-1.350570384218003,-1.3849483159406004,-1.318900825231533,-1.3180902321095314,-1.3378142524653596,-1.3518641725021194,-1.3615910838263665,-1.313226827982351
2017-10-06,-1.313226827982351,-0.9510523420984673,0.08970153422082211,-1.3505052206761798,-1.384648402309877,-1.3161988996931373,-1.318900825231533,-1.3180902321095314,-1.3378142524653596,-1.3518641725021194,-1.3024191258287683
2017-10-09,-1.3024191258287683,-1.0880592805029075,0.4440432690054991,-1.3499448052675131,-1.384344012254362,-1.313226827982351,-1.3161988996931373,-1.318900825231533,-1.3180902321095314,-1.3378142524653596,-1.3091739139072858
2017-10-10,-1.3091739139072858,-1.1347095768852458,-0.3456797683499019,-1.3495016862227922,-1.3841381018366845,-1.3024191258287683,-1.313226827982351,-1.3161988996931373,-1.318900825231533,-1.3180902321095314,-1.326736404139386
2017-10-11,-1.326736404139386,-1.1401445628715376,-0.8355664801434319,-1.346999367935003,-1.3839053328702562,-1.3091739139072858,-1.3024191258287683,-1.313226827982351,-1.3161988996931373,-1.318900825231533,-1.3288979342631142
2017-10-12,-1.3288979342631142,-1.1266703267805225,-0.14633274015769684,-1.344757708786166,-1.3839680019635505,-1.326736404139386,-1.3091739139072858,-1.3024191258287683,-1.313226827982351,-1.3161988996931373,-1.3370036593433579
2017-10-13,-1.3370036593433579,-1.052278956093153,-0.4245023247107966,-1.3428809694488668,-1.3842500107488973,-1.3288979342631142,-1.326736404139386,-1.3091739139072858,-1.3024191258287683,-1.313226827982351,-1.3364632639286902
2017-10-16,-1.3364632639286902,-1.1113844286940766,-0.02010503486212884,-1.3413952188199958,-1.3851452752162758,-1.3370036593433579,-1.3288979342631142,-1.326736404139386,-1.3091739139072858,-1.3024191258287683,-1.3402459802964215
2017-10-17,-1.3402459802964215,-1.110365368821647,-0.22519546640944738,-1.3402092244608392,-1.3858122471420176,-1.3364632639286902,-1.3370036593433579,-1.3288979342631142,-1.326736404139386,-1.3091739139072858,-1.3540257026258473
2017-10-18,-1.3540257026258473,-1.079680343774041,-0.7043941897540557,-1.3411084957558121,-1.3864568369438008,-1.3402459802964215,-1.3364632639286902,-1.3370036593433579,-1.3288979342631142,-1.326736404139386,-1.3221431461845965
2017-10-19,-1.3221431461845965,-0.9949851454876597,1.5218081349747203,-1.341655877958948,-1.3873252437162191,-1.3540257026258473,-1.3402459802964215,-1.3364632639286902,-1.3370036593433579,-1.3288979342631142,-1.3194412206462007
2017-10-20,-1.3194412206462007,-1.0355210826354198,0.07881648530853275,-1.3418383403505465,-1.3873028615922602,-1.3221431461845965,-1.3540257026258473,-1.3402459802964215,-1.3364632639286902,-1.3370036593433579,-1.3105249024439554
2017-10-23,-1.3105249024439554,-0.9827564270185031,0.363198675168496,-1.3423466229370908,-1.3875580118288564,-1.3194412206462007,-1.3221431461845965,-1.3540257026258473,-1.3402459802964215,-1.3364632639286902,-1.3134969741547418
