Date,Close,Volume,Daily Returns,Monthly Moving Average,Quarterly Moving Average,lag_1,lag_2,lag_3,lag_4,lag_5,Target
2017-09-13,-1.2890960062032863,-0.21545345822047884,0.12325038358338977,-1.318480485847637,-1.278646241756342,-1.2944311328784197,-1.283974330183399,-1.297845610694202,-1.2722370677796204,-1.321106766254086,-1.2946445835336655
2017-09-14,-1.2946445835336655,-0.4991818206933115,-0.23392204394854665,-1.3136537914549133,-1.2753440404031529,-1.2890960062032863,-1.2944311328784197,-1.283974330183399,-1.297845610694202,-1.2722370677796204,-1.28077322161529
2017-09-15,-1.28077322161529,0.8167573300942661,0.40414161056370146,-1.3089090771157006,-1.2721914153248262,-1.2946445835336655,-1.2890960062032863,-1.2944311328784197,-1.283974330183399,-1.297845610694202,-1.2999797102087989
2017-09-18,-1.2999797102087989,1.0647569358112605,-0.6765456059205426,-1.3025657106863149,-1.2697539212352975,-1.28077322161529,-1.2946445835336655,-1.2890960062032863,-1.2944311328784197,-1.283974330183399,-1.3234542350163563
2017-09-19,-1.3234542350163563,-0.38204754364279886,-0.8282590643366262,-1.2970421682473012,-1.2678389650166462,-1.2999797102087989,-1.28077322161529,-1.2946445835336655,-1.2890960062032863,-1.2944311328784197,-1.301046719262311
2017-09-20,-1.301046719262311,0.29735928580449283,0.7042148425003387,-1.2905245917609485,-1.2657941723658555,-1.3234542350163563,-1.2999797102087989,-1.28077322161529,-1.2946445835336655,-1.2890960062032863,-1.3112901527096583
2017-09-21,-1.3112901527096583,0.08480821130015348,-0.3911939878661813,-1.2839250352210845,-1.2635822254542426,-1.301046719262311,-1.3234542350163563,-1.2999797102087989,-1.28077322161529,-1.2946445835336655,-1.3087293146997145
2017-09-22,-1.3087293146997145,-0.841337208919809,0.033259256745909384,-1.2805227789523563,-1.2624920342863382,-1.3112901527096583,-1.301046719262311,-1.3234542350163563,-1.2999797102087989,-1.28077322161529,-1.2982724305971214
2017-09-25,-1.2982724305971214,-0.4787253560409493,0.29612573073640225,-1.2758293065444497,-1.2615617870362832,-1.3087293146997145,-1.3112901527096583,-1.301046719262311,-1.3234542350163563,-1.2999797102087989,-1.3068086658403637
2017-09-26,-1.3068086658403637,0.03576874124312067,-0.33401184402332457,-1.2716482182667097,-1.260886613547065,-1.2982724305971214,-1.3087293146997145,-1.3112901527096583,-1.301046719262311,-1.3234542350163563,-1.2897362767614517
2017-09-27,-1.2897362767614517,-0.840776757833443,0.5155519063669332,-1.2631220816042084,-1.260219645849945,-1.3068086658403637,-1.2982724305971214,-1.3087293146997145,-1.3112901527096583,-1.301046719262311,-1.2771453745518342
2017-09-28,-1.2771453745518342,-0.49609933971829806,0.3602267938478223,-1.2545447069196114,-1.259556762276427,-1.2897362767614517,-1.3068086658403637,-1.2982724305971214,-1.3087293146997145,-1.3112901527096583,-1.2675421302550798
2017-09-29,-1.2675421302550798,-0.8201801804094891,0.2589109748757112,-1.2444404141576175,-1.2592220117358532,-1.2771453745518342,-1.2897362767614517,-1.3068086658403637,-1.2982724305971214,-1.3087293146997145,-1.1755645170690558
2017-10-02,-1.1755645170690558,2.883140485526037,2.903347859135991,-1.2351149534046348,-1.2588695674085195,-1.2675421302550798,-1.2771453745518342,-1.2897362767614517,-1.3068086658403637,-1.2982724305971214,-1.1922101676526211
2017-10-03,-1.1922101676526211,0.7209201943256648,-0.5478815997072819,-1.2236477065814761,-1.2583874622497735,-1.1755645170690558,-1.2675421302550798,-1.2771453745518342,-1.2897362767614517,-1.3068086658403637,-1.185807950516403
2017-10-04,-1.185807950516403,-0.16669421370662907,0.1409419616504764,-1.2114631196305576,-1.257334264014914,-1.1922101676526211,-1.1755645170690558,-1.2675421302550798,-1.2771453745518342,-1.2897362767614517,-1.1836739324093788
2017-10-05,-1.1836739324093788,-0.508709489161535,0.011812444232478882,-1.2000163687980794,-1.2526187980850867,-1.185807950516403,-1.1922101676526211,-1.1755645170690558,-1.2675421302550798,-1.2771453745518342,-1.2013865920464561
